S.No.,NameIndianParty,NameJV/WOS,IfJV/WOS,OversCountry,MajorActivity,Equity,Loan,GurIssu,Total
307,QUESS CORP LIMITED,QUESSCORP HOLDINGS PTE. LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1.1378,0,0,1.1378
308,QUILON FOODS PVT. LTD,QUILON SPECIALITY FOODS PTE LTD,WOS,SINGAPORE,MANUFACTURING,0,0,12.5,12.5
309,QUINTILLION MEDIA PVT LTD,QUINTYPE INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.5417,0,0,0.5417
310,R P P  INFRA PROJECTS LTD,R.P.P. INFRA PROJECTS (LANKA) LTD,WOS,SRI LANKA,CONSTRUCTION,0,0.3006,0,0.3006
311,RADHE INFRASTRUCTURE AND PROJECTS INDIA LIMITED,TARGET LEISURE CO. LTD,WOS,CAMBODIA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.1,0,0.1
312,RAHUL ASHOK KHEMANI,RKMG REAL ESTATE LLC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.005,0,0,0.005
313,RAJARAM N.S. BANDEKAR & CO. PVT.LTD.,NRB INTERNATIONAL PTE LTD,WOS,SINGAPORE,MANUFACTURING,0.3541,0,0,0.3541
314,RAJASHREE TAKLE,SIEGER DRUCKMASCHINEN GMBH,JV,GERMANY,MANUFACTURING,0.0058,0,0,0.0058
315,RAJEETA GUPTA,ODILIA DESIGN LIMITED,WOS,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0774,0,0,0.0774
316,RAJESH LAKHANI,GLOBE ENERGIES PTE. LTD.,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0015,0,0,0.0015
317,RAJKRIPAL LUMBERS LIMITED,TRISAN OVERSEAS (HK) LIMITED,JV,HONGKONG,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0637,0,0,0.0637
318,RAKESH SURESH BHURKE,ONS FRESH FZC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0064,0,0,0.0064
319,RAMA STEEL TUBES LIMITED,RST INTERNATIONAL TRADING FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.13,0,0.13
320,RAMANUJAN A G,MEC CONCEPTS GMBH,WOS,GERMANY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0112,0,0,0.0112
321,RAMCO SYSTEMS LTD.,RAMCO SYSTEMS AUSTRALIA PTY LIMITED,WOS,AUSTRALIA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.5217,0,0.5217
322,RAMCO SYSTEMS LTD.,RAMCO SYSTEM INC,WOS,PHILIPPINES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.2602,0,0,0.2602
323,RAMCO SYSTEMS LTD.,RAMCO SYSTEMS FZ-LLC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.0381,0,0.0381
324,RAMESHBHAI VIRJIBHAI TILARA,TILE MARINE LLC,JV,UNITED ARAB EMIRATES,MANUFACTURING,0.0292,0,0,0.0292
325,RANGSONS TECHNOLOGIES LLP,RANGSONS TECHNOLOGIES PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.135,0,0,0.135
326,REITZ INDIA LIMITED,REITZ SOUTH EAST ASIA PTE LTD.,WOS,SINGAPORE,MANUFACTURING,0,0,0.009,0.009
327,RELIANCE  INDUSTRIAL INVESTMENTS & HOLDINGS LIMITED,RELIANCE EXPLORAATION & PRODUCTION DMCC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.6,0,0,0.6
328,RELIANCE  INDUSTRIAL INVESTMENTS & HOLDINGS LIMITED,EDCAST INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.7,0,0,0.7
329,RELIANCE BUSINESS MACHINES PRIVATE LIMITED,LES NOUVELLES EDITIONS INDEPENDANTES S.A.S.U,JV,FRANCE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,11.162,11.162
330,RELIANCE INDUSTRIES LTD,RELIANCE ETHANE HOLDING PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",35.74,0,0,35.74
331,RELIANCE INTERACTIVE ADVISORS PRIVATE LIMITED,RELIANCE BIG ENTERTAINMENT (US) INC.,WOS,UNITED STATES OF AMERICA,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0,120,120
332,RHC HOLDING PRIVATE LIMITED,RHC FINANCIAL SERVICES (MAURITIUS) LTD,WOS,MAURITIUS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,1.5,0,1.5
333,RIKANT PITTIE,SINGAPORE ARRIVALS PTE LTD,WOS,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.0225,0,0,0.0225
334,RISHAB NALIN JAIN,ORCHIDS AMERICA INC,WOS,UNITED STATES OF AMERICA,AGRICULTURE AND MINING,0.12,0,0,0.12
335,RISHI SACHDEVA,WFA FLOWERS DMCC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0722,0,0,0.0722
336,RJ CORP LIMITED,ARCTIC INTERNATIONAL PVT.LTD,WOS,MAURITIUS,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.725,0,0.725
337,RJ CORP LIMITED,WELLNESS HOLDINGS LIMITED,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.075,0,0,0.075
338,RJU ENTERPRISES PRIVATE LIMITED,RJU GLOBAL HOLDING PRIVATE LIMITED,WOS,MAURITIUS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.001,0.039,0,0.04
339,RMC GEMS INDIA LIMITED,RMC GEMS & JEWELERY INC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",3,0,0,3
340,ROLLY GUPTA,ODILIA DESIGN LIMITED,WOS,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0774,0,0,0.0774
341,RONAKKUMAR KHODIDAS PATEL,JSK RENEWABLE ENERGY LIMITED,JV,GHANA,MANUFACTURING,0.015,0,0,0.015
342,ROUTESMS SOLUTIONS LIMITED,ROUTESMS SOLUTIONS FZE,WOS,UNITED ARAB EMIRATES,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.01,0,0,0.01
343,RUCHI SHAH,NIRVAAN INVESTMENTS PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0749,0,0,0.0749
344,RUPESH RAMESH ZAVERI,R INTERNATIONAL HK LIMITED,WOS,HONGKONG,CONSTRUCTION,0.0284,0,0,0.0284
345,RUPINDER KAUR OBEROI,PRIME OVERSEAS INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0.1,0,0,0.1
346,S CHANDRAHASAN,PT INDUSTRIAL MINERAL INDONESIA,JV,INDONESIA,AGRICULTURE AND MINING,0.25,0,0,0.25
347,S CHANDRAHASAN,AMERICAN FRONTIERS LLC,WOS,UNITED STATES OF AMERICA,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.0751,0,0,0.0751
348,SA INFOTECH PRIVATE LIMITED,S A INFOTECH (FZC),WOS,UNITED ARAB EMIRATES,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.0408,0,0,0.0408
349,SAKHATECH INFORMATION SYSTEMS PRIVATE LIMITED,SAKHA GLOBAL INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.05,0,0,0.05
350,SAMVARDHANA MOTHERSON INTERNATIONAL LTD,SAMVARDHANA MOTHERSON HOLDING PRIVATE LIMITED,WOS,MAURITIUS,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,24.5564,24.5564
351,SAMVARDHANA MOTHERSON INTERNATIONAL LTD,MAGNETI MARELI MOTHERSON INDIA HOLDING B.V,JV,NETHERLANDS,MANUFACTURING,2.83,0,0,2.83
352,SANDAL LANDS PRIVATE LIMITED,SANDAL MAURITIUS PVT LTD,WOS,MAURITIUS,CONSTRUCTION,0,0.25,0,0.25
353,SANGHVI BRANDS PROMOTERS PVT LTD,SANGHVI BRANDS US HOLDINGS INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.1,0,0.1
354,SANMAR GROUP INTERNATIONAL LTD.,SANMAR OVERSEAS INVESTMENTS AG,WOS,SWITZERLAND,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,123.55,0,123.55
355,SANMEET SINGH,FAMILY FIRST DIRECT LTD,JV,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0155,0,0,0.0155
356,SANOVI TECHNOLOGIES PVT LTD,SANOVI TECHNOLOGIES INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.074,0,0.074
357,SAR TRANSPORT SYSTEMS PVT LTD,RTW LOGISTICS INC,JV,UNITED STATES OF AMERICA,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.08,0,0,0.08
358,SARJAK CONTAINER LINES PVT LTD,BULK OIL AND LIQUID TRANSPORT PTE LTD,WOS,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.05,0,0.05
359,SARLA PERFORMANCE FIBRES LTD,SARLA FLEX INC,WOS,UNITED STATES OF AMERICA,AGRICULTURE AND MINING,0,0,0.2895,0.2895
360,SARTHAK BAGAI,OLTREMARE MIDDLE  EAST (FZC),WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0204,0,0,0.0204
361,SARTHAK INDUSTRIES LTD,PARAS INDUSTRIES (PRIVATE) LIMITED,JV,SRI LANKA,MANUFACTURING,0.15,0,0,0.15
362,SECURAX TECH SOLUTIONS (INDIA) PVT LTD,SECURAX TECHNOLOGIES FZCO,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0046,0,0,0.0046
363,SEQUEL LOGISTICS PVT LTD,SEQUEL INTERNATIONAL LOGISTICS PTE. LTD,WOS,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.3394,0,0.3394
364,SERCO BPO PRIVATE LIMITED,SERCO BPO SERVICES FZ LLC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0.0545,0.0545
365,SF DYES PRIVATE LIMITED,SF GLOBAL PTE LTD,WOS,SINGAPORE,MANUFACTURING,0,0,3.15,3.15
366,SHAH COAL PVT LTD,PAN ASIA RESOURCES DMCC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.25,0,0.25
367,SHAPOORJI PALLONJI INFRASTRUCTURE CAPITAL COMPANY PVT. LTD.,NUTAN BIDYUT BANGLADESH LTD,WOS,BANGLADESH,"ELECTRICITY, GAS AND WATER",0,0,2.2,2.2
368,SHAPOORJI PALLONJI OIL AND GAS PVT LTD,S.P. ENGINEERING SERVICES PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",18.0006,0,0,18.0006
369,SHARDA CROPCHEM LIMITED,NIHON AGRO SERVICE KABUSHIKI KAISHA,WOS,JAPAN,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0008,0,0,0.0008
370,SHARDA CROPCHEM LIMITED,SHARDA POLAND SP. Z.O.O,WOS,POLAND,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.1005,0,0.1005
371,SHASHANK ARYA,SANAAYA VENTURES PTE LTD,JV,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.001,0,0,0.001
372,SHASUN PHARMACEUTICALS LIMITED,SVADS HOLDING SA,WOS,SWITZERLAND,MANUFACTURING,0,0.4647,0,0.4647
373,SHETH LIFESTYLES PVT.LTD,SHETH ESTATE (INTERNATIONAL) LIMITED,WOS,UNITED ARAB EMIRATES,CONSTRUCTION,0.4901,0,0,0.4901
374,SHWETHA MENON,QS CUISINE RESTAURANT LLC,JV,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0218,0,0,0.0218
375,SIDHANT BAGAI,OLTREMARE MIDDLE  EAST (FZC),WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0204,0,0,0.0204
376,SINDHU TRADE LINKS LIMITED,PARAM MITRA RESOURCES PTE LTD.,JV,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",1,0,0,1
377,SOFTENGER (I). PVT. LTD,SOFTENGER (MALAYSIA) SDN BHD,WOS,MALAYSIA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.025,0,0.025
378,SOLVEDA SOFTWARE INDIA PVT LTD,SOLVEDA SOFTWARE ASIA PACIFIC PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
379,SORATHIYA BAKULBHAI SAMJIBHAI,TILE MARINE LLC,JV,UNITED ARAB EMIRATES,MANUFACTURING,0.0122,0,0,0.0122
380,SPERRY INTERNATIONAL PRIVATE LIMITED,SPERRY WICTOR SRL,JV,ITALY,MANUFACTURING,0.5581,0,0,0.5581
381,SPICA ELASTIC PVT LIMITED,SPICA ELASTIC VIETNAM COMPANY LIMITED,WOS,VIETNAM,MANUFACTURING,0.5,0,0,0.5
382,SQUARE DOTCOM PVT LTD,SY SOLUTIONS PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.001,0.2695,0,0.2705
383,SRI KRISHNA JEWELLERS PRIVATE LIMITED,KRISHE LIMITED,WOS,HONGKONG,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.005,0,0,0.005
384,SRI KRISHNA JEWELLERS PRIVATE LIMITED,SRI KRISHNA JEWELLERS INC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.2,0,0,0.2
385,SRIDEVI PARK LIMITED,SAISEA CITY HOTEL PVT. LTD.,WOS,SRI LANKA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.0328,0,0.0328
386,SRIJAN TECHOLOGIES PVT. LTD.,SRIJAN TECHNOLOGIES PTE. LTD.,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.015,0,0,0.015
387,SSP PRIVATE LIMITED,PROSOYA INC,WOS,CANADA,MANUFACTURING,1.6422,0,0,1.6422
388,STAR ENGINEERS INDIA PVT LTD,STAR ENGINEER VIETNAM CO. LTD.,WOS,VIETNAM,MANUFACTURING,0,0.075,0,0.075
389,STAR ORECHEM INTERNATIONAL PVT LTD.,SUYOG NATURAL RESOURCES LTD,JV,ZAMBIA,AGRICULTURE AND MINING,0.0065,0,0,0.0065
390,STARK STEEL PRIVATE LTD,STARK STEEL (GHANA) LIMITED,WOS,GHANA,MANUFACTURING,0.03,0,0,0.03
391,STEERLING AND WILSON P LTD,STERLING & WILSON INTERNATIONAL FZE,WOS,UNITED ARAB EMIRATES,CONSTRUCTION,0,6,0,6
392,STERLING AND WILSON CO GEN SOLUTIONS PVT LTD,STERLING AND WILSON POWER SOLUTIONS LLC,JV,UNITED ARAB EMIRATES,"ELECTRICITY, GAS AND WATER",0,0.33,0,0.33
393,SUDARSHAN CHEMICAL INDUSTRIES LTD,SUDARSHAN EUROPE BV,WOS,NETHERLANDS,MANUFACTURING,0,1.9442,0,1.9442
394,SUDARSHAN M S,MEC CONCEPTS GMBH,WOS,GERMANY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0112,0,0,0.0112
395,SUN MINERALS MADAGASCAR,SUNMINERALS MADAGASCAR SARL,WOS,REPUBLIC OF MADAGASCAR,AGRICULTURE AND MINING,0.131,0,0,0.131
396,SUNDARAM CLAYTON LIMITED,SUNDARAM HOLDING USA INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.2,0,0,0.2
397,SUNIL KUMAR GARG,TRISAN OVERSEAS (HK) LIMITED,JV,HONGKONG,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.075,0,0,0.075
398,SUNIL KUMAR V R,MEC CONCEPTS GMBH,WOS,GERMANY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0056,0,0,0.0056
399,SUNTECK REALTY LIMITED,SUNTECK LIFESTYLE LIMITED,WOS,UNITED ARAB EMIRATES,CONSTRUCTION,0,0.733,0,0.733
400,SURESH TAKLE,SIEGER DRUCKMASCHINEN GMBH,JV,GERMANY,MANUFACTURING,0.0058,0,0,0.0058
401,SUTURES INDIA PRIVATE LIMITED,SIRONIX MEDICAL TECHNOLOGIES BV,WOS,NETHERLANDS,MANUFACTURING,0,1.6157,0,1.6157
402,SUZLON ENERGY LTD.,"AE ROTOR HOLDING BV, NETHERLANDS",JV,NETHERLANDS,MANUFACTURING,0,7.5,0,7.5
403,TAKE SOLUTIONS LTD,TAKE SOLUTIONS GLOBAL HOLDINGS PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1,0,0,1
404,TANAY SHAH,B CONNECT INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
405,TATA MOTORS LTD.,TATA MOTORS EUROPEAN TECHNICAL CENTRE PLC.,WOS,UNITED KINGDOM,MANUFACTURING,5.48,0,0,5.48
406,TECH MAHINDRA LTD,PF HOLDINGS B.V.,WOS,NETHERLANDS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",28.0212,0,0,28.0212
407,TECHNOLOGY FRONTIERS (INDIA) PVT LTD,TECHFRONT INTERNATIONAL FZE,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.28,0,0,0.28
408,THE BANSIWALA MILLS PRIVATE LIMITED,KUONI TRAVEL PROPERTY DS LTD,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",23.3512,0,0,23.3512
409,THEJO ENGINEERING LIMITED,THEJO BRASIL COMERCIO E SERVICOS LTDA,JV,BRAZIL,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.018,0,0,0.018
410,THEJO ENGINEERING LIMITED,THEJO ENGINEERING LATINO AMERICA SPA,JV,CHILE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0534,0,0,0.0534
411,THEJO ENGINEERING LIMITED,THEJO HATCON INDUSTRIAL SERVICES LLC,JV,SAUDI ARABIA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.2,0,0.2
412,THRIVENI EARTH MOVERS P LTD,THRIVENI INTERNATIONAL LIMITED,WOS,UNITED ARAB EMIRATES,MANUFACTURING,1.5,0,0,1.5
413,TIDE WATERS OIL CO (INDIA) LTD,PRICE THOMAS HOLDINGS LIMITED,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",14.8577,0,0,14.8577
414,TIME TECHNOPLAST LTD,IKON INVESTMENT HOLDINGS LTD.,WOS,MAURITIUS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.75,0,0.75
415,TIME TECHNOPLAST LTD,GNXT INVESTMENT HOLDINGS PTE LIMITED,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,2.01,0,2.01
416,TIMES INTERNET LTD,HAPTIK INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",8.4998,0,0,8.4998
417,TIRUPATI CARBONS & CHEMICALS PRIVATE LIMITED,TIRUPATI RESOURCES MAURITIUS LTD,WOS,MAURITIUS,AGRICULTURE AND MINING,0,0.007,0,0.007
418,TRACTORS INDIA PRIVATE LIMITED,ASIAN INFRA VENTURES PRIVATE LIMITED,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,2.27,0,2.27
419,TRIVIUM ESOLUTIONS PRIVATE LIMITED,TRIVIUM ESOLUTIONS GMBH,WOS,GERMANY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.893,0,0.893
420,TUFROPES PRIVATE LIMITED,TUFROPES VIETNAM COMPANY LTD,WOS,VIETNAM,MANUFACTURING,0,0.53,0,0.53
421,U S CLOTHING (INDIA) PVT LTD,ZRD ALLIANCE INC,JV,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.015,0,0,0.015
422,ULKA INDUSTRIES LTD.,AUM SUGAR AND ALLIED LIMITED,JV,MALAWI,MANUFACTURING,0,0.1,0,0.1
423,UNIVERSAL MEDICARE PRIVATE LTD,GELTEC PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,1,0,1
424,USS EXIM PRIVATE LTD,GANPATI INTERNATIONAL PTE LIMITED,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.1,0,0.1
425,USS INDIA PRIVATE LIMITED,GANPATI INTERNATIONAL PTE LIMITED,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.3,0,0.3
426,UTTAM INDUSTRIAL ENGINEERING LTD,IDEA PACIFIC PTY LTD,WOS,AUSTRALIA,MANUFACTURING,0.0021,0,0,0.0021
427,V VIJAY KUMAR,GENUINE MERITS LIMITED,JV,HONGKONG,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0426,0,0,0.0426
428,VAITARNA TIMBER TRADING PVT LTD,VAITARNA HOLDING PRIVATE INCORPORATED,WOS,GUYANA,AGRICULTURE AND MINING,0.3392,0,0,0.3392
429,VALUABLE TECHNOLOGIES  LTD,"VALUABLE TECHNOLOGIES , INC.",WOS,UNITED STATES OF AMERICA,MANUFACTURING,0.1565,0,0,0.1565
430,VARANAM HOSPITALITY PRIVATE LIMITED,HERITAGE RESTAURANTS AND HOSPITALITY LLC,JV,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.0694,0,0.0694
431,VARUN BEVERAGES (INTERNATIONAL) LIMITED,VARUN BEVERAGES MOROCCO SA,WOS,MOROCCO,MANUFACTURING,0,1,0,1
432,VAYHAN COFFEE LIMITED,VAYHAN LLC,WOS,RUSSIA,MANUFACTURING,0,0.2,0,0.2
433,VCARE TECHNOLOGIES PRIVATE LIMITED,DIRO INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.002,0,0.002
434,VE COMMERCIAL  VEHICLES  LIMITED,VECV SOUTH AFRICA PTY LIMITED,WOS,SOUTH AFRICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.5285,0,0,0.5285
435,VENKATESHWAR HATCHERIES PVT  LTD,VENKY'S OVERSEAS LIMITED,WOS,UNITED KINGDOM,AGRICULTURE AND MINING,0.1022,0,0,0.1022
436,VERDANTA HARVESTS PVT LTD,VERDANTA HARVESTS PLC,WOS,ETHIOPIA,AGRICULTURE AND MINING,0.05,0,0,0.05
437,VETO SWITCHGEARS AND CABLES LIMITED,VETO OVERSEAS PRIVATE FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.7487,0,0.7487
438,VG HOSPITALITY PRIVATE LIMITED,WHITE LOTUS WORLDWIDE LIMITED,WOS,UNITED ARAB EMIRATES,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0.0381,0,0.0381
439,VIDEOCON INDUSTRIES LIMITED,VIDEOCON HYDROCARBONS HOLDINGS LIMITED,WOS,CAYMAN ISLAND,AGRICULTURE AND MINING,0,0,145,145
440,VIDEOCON OIL VENTURES LIMITED,VIDEOCON HYDROCARBONS HOLDINGS LIMITED,WOS,CAYMAN ISLAND,AGRICULTURE AND MINING,0,0,204.075,204.075
441,VIHAAN NETWORKS LIMITED,VNL GLOBAL LTD,WOS,MAURITIUS,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.05,0,0,0.05
442,VIJYA LAXMI POWER,NEW NORCIA SANTALUM UNIT TRUST,JV,AUSTRALIA,AGRICULTURE AND MINING,2.577,0,0,2.577
443,VIPAN KUMAR,VD HOSPITALITY SDN BHD,WOS,MALAYSIA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0045,0,0,0.0045
444,VVDN TECHNOLOGIES PRIVATE LIMITED,VVDN TECHNOLOGIES INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.001,0,0,0.001
445,WILH LOESCH INDIA PRIVATE LIMITED,WILH LOESCH BANGLADESH PVT LTD,WOS,BANGLADESH,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.0028,0,0,0.0028
446,WINDSOR MACHINES LIMITED,WINTECH BV,WOS,NETHERLANDS,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.0223,0,0.0223
447,WINGIFY SOFTWARE PRIVATE LIMITED,WINGIFY INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
448,YASH TECHNOLOGIES PRIVATE LIMITED,SOLTIUS MIDDLE EAST FZ- LLC,JV,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.511,0,0.511
449,YASHRAJ BOITECHNOLOGY LTD,YASHRAJ BIOTECHNOLOGY GMBH,WOS,GERMANY,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.0558,0,0.0558
450,"YESHA ELECTRICALS PVT.LTD.,",YESHA INTERNATIONAL LTD,WOS,MAURITIUS,MANUFACTURING,1.5,0,0,1.5
451,YORK PRINT PRIVATE LIMITED,YORK PRINT BANGLADESH PRIVATE LTD,WOS,BANGLADESH,MANUFACTURING,0.031,0,0,0.031
452,ZOMATO MEDIA PVT LTD,ZOMATO CHILE SPA,WOS,CHILE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.045,0,0,0.045
453,ZOMATO MEDIA PVT LTD,ZOMATO MIDDLE EAST FZ-LLC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1.4976,0,0,1.4976
454,ASK INVESTMENT MANAGERS PRIVATE LIMITED,ASK CAPITAL MANAGEMENT PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1499,0,0,0.1499
455,AURIONPRO SOLUTIONS LTD.,AURION PROSOLUTIONS PTE. LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,3,3
